"","year_winter","ws_count_sic_ge95"
"1",1979,41
"2",1980,28
"3",1981,29
"4",1982,17
"5",1983,15
"6",1984,17
"7",1985,18
"8",1986,23
"9",1987,55
"10",1988,55
"11",1989,72
"12",1990,71
"13",1991,66
"14",1992,58
"15",1993,55
"16",1994,86
"17",1995,60
"18",1996,52
"19",1997,74
"20",1998,75
"21",1999,83
"22",2000,10
"23",2001,69
"24",2002,44
"25",2003,45
"26",2004,38
"27",2005,90
"28",2006,63
"29",2007,73
"30",2008,77
"31",2009,94
"32",2010,72
"33",2011,75
"34",2012,79
"35",2013,45
"36",2014,21
"37",2015,15
"38",2016,30
"39",2017,0
"40",2018,2
"41",2019,33
"42",2020,61
"43",2021,55
