,year_winter,ws_count_sic_ge95,winter_count_sic_ge95,spring_count_sic_ge95,ws_count_sic_le15,winter_count_sic_le15,spring_count_sic_le15,ws_index,winter_index,spring_index
1,1979,41,36,5,25,25,0,190.6991946,161.731605,10.75055682
2,1980,28,20,8,21,21,0,62.36237889,54.04461273,10.22730867
3,1981,29,22,7,19,19,0,38.85634512,26.35069183,8.317766167
4,1982,17,15,2,28,28,0,10.22730867,10.22730867,0
5,1983,15,11,4,38,38,0,19.68979663,15.0076654,4.682131227
6,1984,17,5,12,47,47,0,29.14943672,1.386294361,26.376848
7,1985,18,17,1,33,33,0,48.16462685,48.16462685,0
8,1986,23,15,8,34,34,0,41.89281878,18.86696785,23.02585093
9,1987,55,51,4,28,28,0,135.2648667,127.2176772,8.047189562
10,1988,55,49,6,49,41,8,138.412215,121.2404336,8.047189562
11,1989,72,64,8,52,52,0,243.9036427,236.9721709,8.317766167
12,1990,71,56,15,47,47,0,226.9560106,194.7895647,30.25690338
13,1991,66,41,25,54,54,0,165.5628035,80.85229353,77.65958629
14,1992,58,51,7,40,36,4,156.8320184,134.2382336,13.62137104
15,1993,55,46,9,50,50,0,127.9954988,98.1253026,19.7750212
16,1994,86,79,7,37,37,0,260.7110917,251.8700774,8.84101431
17,1995,60,55,5,55,53,2,186.6332888,178.5860993,8.047189562
18,1996,52,39,13,65,64,1,109.697954,74.96731801,31.20517416
19,1997,74,63,11,48,48,0,221.2000517,182.4280263,23.02585093
20,1998,75,57,18,60,60,0,211.5553777,176.6163431,33.0294921
21,1999,83,73,10,28,28,0,202.9819295,165.6570134,29.8188798
22,2000,10,0,10,111,109,2,12.47664925,0,12.47664925
23,2001,69,51,18,45,45,0,183.057714,141.1610514,44.3986747
24,2002,44,35,9,78,74,4,114.3570387,101.6277179,10.22730867
25,2003,45,42,3,74,74,0,117.5891474,114.2933105,3.295836866
26,2004,38,25,13,65,61,4,72.01127922,42.19239942,29.8188798
27,2005,90,79,11,34,34,0,269.7053569,243.8517571,31.20517416
28,2006,63,53,10,54,54,0,173.8957498,150.8698989,16.09437912
29,2007,73,46,27,54,54,0,203.2355194,109.9337931,83.76773249
30,2008,77,54,23,51,51,0,196.5151611,116.0432655,80.47189562
31,2009,94,65,29,44,44,0,319.1588563,177.6925294,102.0359214
32,2010,72,51,21,63,60,3,197.1180587,114.8571585,63.93497119
33,2011,75,52,23,45,45,0,212.8251273,136.5518354,76.27329193
34,2012,79,57,22,46,46,0,226.8777158,168.8949252,55.11197637
35,2013,45,38,7,64,55,9,93.52839594,77.81593429,9.433483923
36,2014,21,14,7,98,94,4,38.79833705,29.95732274,8.84101431
37,2015,15,11,4,91,79,12,16.8189824,13.52314554,3.295836866
38,2016,30,28,2,104,95,9,85.15402685,76.79849819,1.386294361
39,2017,0,0,0,169,139,30,0,0,0
40,2018,2,2,0,117,92,25,1.386294361,1.386294361,0
41,2019,33,33,0,84,76,8,92.5260464,92.5260464,0
42,2020,61,44,17,76,76,0,151.1152824,101.2086854,53.70980429
43,2021,55,51,4,5,4,1,171.7123973,170.8493511,4.682131227
